CODE;PARENT_CODE;TYPE_CODE;NAME.RU.NAME;EXT.OZON.3
c2;p;CITY;Москва в пределах МКАД;2
c35634;p;CITY;Зеленоград;35634
c5911;p;CITY;Санкт-Петербург в пределах КАД;5911
c5920;p;CITY;Александровская;5920
c5799;p;CITY;Всеволожск;5799
c5673;p;CITY;Гатчина;5673
c5928;p;CITY;Колпино;5928
c5675;p;CITY;Коммунар;5675
c35627;p;CITY;Красное Село;35627
c5939;p;CITY;Кронштадт;5939
c5913;p;CITY;Левашово;5913
c5937;p;CITY;Лисий Нос;5937
c5766;p;CITY;Ломоносов;5766
c5923;p;CITY;Металлострой;5923
c35629;p;CITY;Ольгино;35629
c5916;p;CITY;Павловск;5916
c5914;p;CITY;Парголово;5914
c5941;p;CITY;Петергоф;5941
c5915;p;CITY;Пушкин;5915
c5911;p;CITY;Санкт-Петербург;5911
c5929;p;CITY;Сестрорецк;5929
c30435;p;CITY;Абакан;30435
c34662;p;CITY;Агинское;34662
c10177;p;CITY;Азов;10177
c10135;p;CITY;Аксай;10135
c27111;p;CITY;Алапаевск;27111
c7853;p;CITY;Алексин;7853
c18372;p;CITY;Альметьевск;18372
c11320;p;CITY;Анапа;11320
c32401;p;CITY;Ангарск;32401
c5112;p;CITY;Апатиты;5112
c26968;p;CITY;Арамиль;26968
c24851;p;CITY;Арзамас;24851
c11116;p;CITY;Армавир;11116
c35060;p;CITY;Артем;35060
c26864;p;CITY;Артемовский;26864
c2495;p;CITY;Архангельск;2495
c27041;p;CITY;Асбест;27041
c17400;p;CITY;Астрахань;17400
c17586;p;CITY;Ахтубинск;17586
c22684;p;CITY;Аша;22684
c12227;p;CITY;Баксан;12227
c17370;p;CITY;Балаково;17370
c24509;p;CITY;Балахна;24509
c787;p;CITY;Балашиха;787
c6566;p;CITY;Балтийск;6566
c30544;p;CITY;Барнаул;30544
c10227;p;CITY;Батайск;10227
c9262;p;CITY;Белгород;9262
c30292;p;CITY;Белово;30292
c28308;p;CITY;Бердск;28308
c38661;p;CITY;Березники;38661
c26835;p;CITY;Березовский;26835
c31219;p;CITY;Бийск;31219
c30924;p;CITY;Благовещенка;30924
c33468;p;CITY;Благовещенск;33468
c26762;p;CITY;Богданович;26762
c8048;p;CITY;Богородицк;8048
c25022;p;CITY;Богородск;25022
c32579;p;CITY;Бодайбо;32579
c26970;p;CITY;Большой Исток;26970
c24518;p;CITY;Бор;24518
c32353;p;CITY;Братск;32353
c6643;p;CITY;Брянск;6643
c18267;p;CITY;Бугульма;18267
c23514;p;CITY;Бугуруслан;23514
c23214;p;CITY;Бузулук;23214
c4808;p;CITY;Великие Луки;4808
c4214;p;CITY;Великий Новгород;4214
c7828;p;CITY;Венев;7828
c22855;p;CITY;Верхний Уфалей;22855
c27002;p;CITY;Верхняя Пышма;27002
c30680;p;CITY;Веселоярск;30680
c498;p;CITY;Видное;498
c32381;p;CITY;Вихоревка;32381
c1331;p;CITY;Вичуга;1331
c34773;p;CITY;Владивосток;34773
c12267;p;CITY;Владикавказ;12267
c23949;p;CITY;Владимир;23949
c15870;p;CITY;Волгоград;15870
c10445;p;CITY;Волгодонск;10445
c18565;p;CITY;Волжск;18565
c16404;p;CITY;Волжский;16404
c1864;p;CITY;Вологда;1864
c3377;p;CITY;Воркута;3377
c14558;p;CITY;Воронеж;14558
c18963;p;CITY;Воткинск;18963
c5856;p;CITY;Выборг;5856
c24798;p;CITY;Выкса;24798
c27789;p;CITY;Высокий, Хмао;27789
c3488;p;CITY;Вышний Волочек;3488
c6505;p;CITY;Гвардейск;6505
c11321;p;CITY;Геленджик;11321
c19030;p;CITY;Глазов;19030
c30784;p;CITY;Горняк;30784
c24552;p;CITY;Городец;24552
c11246;p;CITY;Горячий Ключ;11246
c12391;p;CITY;Грозный;12391
c9406;p;CITY;Губкин;9406
c27851;p;CITY;Губкинский;27851
c6515;p;CITY;Гурьевск;6515
c6471;p;CITY;Гусев;6471
c32830;p;CITY;Гусиноозерск;32830
c24132;p;CITY;Гусь-Хрустальный;24132
c29156;p;CITY;Далматово;29156
c12919;p;CITY;Дербент;12919
c24339;p;CITY;Дзержинск, Нижегородская Обл.;24339
c14;p;CITY;Дзержинский;14
c20250;p;CITY;Димитровград;20250
c319;p;CITY;Дмитров;319
c26460;p;CITY;Добрянка;26460
c317;p;CITY;Долгопрудный;317
c35133;p;CITY;Долинск;35133
c367;p;CITY;Домодедово;367
c8018;p;CITY;Донской;8018
c366;p;CITY;Дубна;366
c29819;p;CITY;Дудинка;29819
c11424;p;CITY;Ейск;11424
c26575;p;CITY;Екатеринбург;26575
c34554;p;CITY;Елизово;34554
c22798;p;CITY;Еманжелинск;22798
c11913;p;CITY;Ессентуки;11913
c11905;p;CITY;Железноводск;11905
c31751;p;CITY;Железногорск;31751
c796;p;CITY;Железнодорожный;796
c21066;p;CITY;Жигулевск;21066
c45;p;CITY;Жуковский;45
c24561;p;CITY;Заволжье;24561
c20995;p;CITY;Заречный;20995
c27040;p;CITY;Заречный;27040
c37927;p;CITY;Звездный;37927
c642;p;CITY;Звенигород;642
c6568;p;CITY;Зеленоградск;6568
c17916;p;CITY;Зеленодольск;17916
c10616;p;CITY;Зерноград;10616
c32271;p;CITY;Зима;32271
c22709;p;CITY;Златоуст;22709
c1185;p;CITY;Иваново;1185
c230;p;CITY;Ивантеевка;230
c27110;p;CITY;Ивдель;27110
c18791;p;CITY;Ижевск;18791
c26898;p;CITY;Ирбит;26898
c32105;p;CITY;Иркутск;32105
c709;p;CITY;Истра;709
c27636;p;CITY;Ишим;27636
c22353;p;CITY;Ишимбай;22353
c18559;p;CITY;Йошкар-Ола;18559
c32851;p;CITY;Кабанск;32851
c17606;p;CITY;Казань;17606
c31875;p;CITY;Кайеркан;31875
c6443;p;CITY;Калининград;6443
c7224;p;CITY;Калуга;7224
c26735;p;CITY;Каменск-Уральский;26735
c10648;p;CITY;Каменск-Шахтинский;10648
c16302;p;CITY;Камышин;16302
c27194;p;CITY;Камышлов;27194
c31965;p;CITY;Канск;31965
c27209;p;CITY;Карпинск;27209
c23054;p;CITY;Карталы;23054
c12760;p;CITY;Каспийск;12760
c29135;p;CITY;Катайск;29135
c27052;p;CITY;Качканар;27052
c29998;p;CITY;Кемерово;29998
c44082;p;CITY;Керчь;44082
c7994;p;CITY;Кимовск;7994
c3641;p;CITY;Кимры;3641
c5757;p;CITY;Кингисепп;5757
c1442;p;CITY;Кинешма;1442
c7789;p;CITY;Киреевск;7789
c5465;p;CITY;Кириши;5465
c7452;p;CITY;Киров;7452
c25198;p;CITY;Киров;25198
c27006;p;CITY;Кировград;27006
c25605;p;CITY;Кирово-Чепецк;25605
c30324;p;CITY;Киселевск;30324
c11914;p;CITY;Кисловодск;11914
c412;p;CITY;Климовск;412
c294;p;CITY;Клин;294
c27742;p;CITY;Когалым;27742
c79;p;CITY;Коломна;79
c26582;p;CITY;Кольцово;26582
c34342;p;CITY;Комсомольск-На-Амуре;34342
c5269;p;CITY;Кондопога;5269
c25955;p;CITY;Кондратово;25955
c22802;p;CITY;Копейск;22802
c22783;p;CITY;Коркино;22783
c188;p;CITY;Королев;188
c35124;p;CITY;Корсаков;35124
c5419;p;CITY;Костомукша;5419
c1477;p;CITY;Кострома;1477
c2918;p;CITY;Котлас;2918
c698;p;CITY;Красногорск;698
c10687;p;CITY;Краснодар;10687
c26009;p;CITY;Краснокамск;26009
c27083;p;CITY;Краснотурьинск;27083
c26680;p;CITY;Красноуфимск;26680
c31498;p;CITY;Красноярск;31498
c10903;p;CITY;Кропоткин;10903
c25045;p;CITY;Кстово;25045
c22391;p;CITY;Кумертау;22391
c26117;p;CITY;Кунгур;26117
c28776;p;CITY;Курган;28776
c35209;p;CITY;Курильск;35209
c8582;p;CITY;Курск;8582
c32593;p;CITY;Кызыл;32593
c33050;p;CITY;Кяхта;33050
c10946;p;CITY;Лабинск;10946
c27787;p;CITY;Лангепас;27787
c30264;p;CITY;Ленинск-Кузнецкий;30264
c27029;p;CITY;Лесной;27029
c15406;p;CITY;Липецк;15406
c318;p;CITY;Лобня;318
c26475;p;CITY;Лысьва;26475
c13;p;CITY;Лыткарино;13
c4;p;CITY;Люберцы;4
c7435;p;CITY;Людиново;7435
c27735;p;CITY;Лянтор;27735
c34604;p;CITY;Магадан;34604
c22676;p;CITY;Магнитогорск;22676
c13254;p;CITY;Майкоп;13254
c12163;p;CITY;Майский;12163
c35144;p;CITY;Макаров;35144
c27044;p;CITY;Малышева;27044
c6563;p;CITY;Мамоново;6563
c30100;p;CITY;Мариинск;30100
c12590;p;CITY;Махачкала;12590
c27788;p;CITY;Мегион;27788
c30352;p;CITY;Междуреченск;30352
c22649;p;CITY;Мелеуз;22649
c22713;p;CITY;Миасс;22713
c11841;p;CITY;Минеральные Воды;11841
c31638;p;CITY;Минусинск;31638
c33898;p;CITY;Мирный;33898
c16047;p;CITY;Михайловка;16047
c14427;p;CITY;Мичуринск;14427
c19121;p;CITY;Можга;19121
c514;p;CITY;Московский;514
c10981;p;CITY;Мостовской;10981
c27809;p;CITY;Муравленко;27809
c5094;p;CITY;Мурманск;5094
c24315;p;CITY;Муром;24315
c170;p;CITY;Мытищи;170
c18484;p;CITY;Набережные Челны;18484
c27838;p;CITY;Надым;27838
c13373;p;CITY;Назрань;13373
c12127;p;CITY;Нальчик;12127
c12199;p;CITY;Нарткала;12199
c3026;p;CITY;Нарьян-Мар;3026
c35086;p;CITY;Находка;35086
c11840;p;CITY;Невинномысск;11840
c27028;p;CITY;Невьянск;27028
c22043;p;CITY;Нефтекамск;22043
c27712;p;CITY;Нефтеюганск;27712
c27768;p;CITY;Нижневартовск;27768
c18408;p;CITY;Нижнекамск;18408
c24336;p;CITY;Нижний Новгород;24336
c26584;p;CITY;Нижний Тагил;26584
c30609;p;CITY;Новоалтайск;30609
c2812;p;CITY;Новодвинск;2812
c30399;p;CITY;Новокузнецк;30399
c21175;p;CITY;Новокуйбышевск;21175
c7980;p;CITY;Новомосковск;7980
c11520;p;CITY;Новороссийск;11520
c27862;p;CITY;Новосибирск;27862
c23834;p;CITY;Новотроицк;23834
c27005;p;CITY;Новоуральск;27005
c19558;p;CITY;Новочебоксарск;19558
c9991;p;CITY;Новочеркасск;9991
c27793;p;CITY;Новый Уренгой;27793
c445;p;CITY;Ногинск;445
c31872;p;CITY;Норильск;31872
c27791;p;CITY;Ноябрьск;27791
c27680;p;CITY;Нягань;27680
c7251;p;CITY;Обнинск;7251
c578;p;CITY;Одинцово;578
c22851;p;CITY;Озерск;22851
c22003;p;CITY;Октябрьский;22003
c5204;p;CITY;Олонец;5204
c29285;p;CITY;Омск;29285
c8125;p;CITY;Орел;8125
c23137;p;CITY;Оренбург;23137
c473;p;CITY;Орехово-Зуево;473
c23839;p;CITY;Орск;23839
c30341;p;CITY;Осинники;30341
c5488;p;CITY;Отрадное, Ленинградская Обл.;5488
c27846;p;CITY;Пангоды;27846
c20481;p;CITY;Пенза;20481
c26642;p;CITY;Первоуральск;26642
c25949;p;CITY;Пермь;25949
c5180;p;CITY;Петрозаводск;5180
c34550;p;CITY;Петропавловск-Камчатский;34550
c3338;p;CITY;Печора;3338
c389;p;CITY;Подольск;389
c27786;p;CITY;Покачи;27786
c26442;p;CITY;Полазна;26442
c26733;p;CITY;Полевской;26733
c6606;p;CITY;Полесск;6606
c30267;p;CITY;Полысаево;30267
c35155;p;CITY;Поронайск;35155
c30373;p;CITY;Прокопьевск;30373
c12156;p;CITY;Прохладный;12156
c4593;p;CITY;Псков;4593
c211;p;CITY;Пушкино;211
c27724;p;CITY;Пыть-Ях;27724
c11907;p;CITY;Пятигорск;11907
c27741;p;CITY;Радужный;27741
c15;p;CITY;Раменское;15
